ecz,year,cdf_release,cdf_disbursed,cdf_expenditure,cdf_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
katuba,2024,15.328485,12.498485,33.205893,0.933648728759184,22.081537,20.31909,0.9201845867885012,3.846092,0.522853,0,0
kaumbwe,2022,25.739911,23.739911,2.808508,0.10911102217874802,11.938162,0.23545,0.01972246649023526,NA,NA,NA,NA
kaumbwe,2023,27.26147,26.209038,23.379183,0.8575906948524786,14.762086,6.749976,0.4572508248495504,4.9165,1.386595,0.210042,0.1514804250700457
kaumbwe,2024,2.725,0,34.63728,0.9258470582093732,24.22236,23.109288,0.9540477476183165,4.087245,4.750392,0.381145,0.08023443117957424
kawambwa,2022,25.739911,23.739911,2.542458,0.09877493360408278,12.855162,1.314505,0.10225503186968785,NA,NA,NA,NA
kawambwa,2023,28.198221,28.08254,26.567109,0.942155499809722,15.331978,1.541817,0.1005621714301964,NA,NA,NA,NA
kawambwa,2024,22.909431,20.171931,38.86624,0.8297869337824252,25.910439,18.305227,0.706480774023165,6.027429,4.69192,0.655829,0.13977838496820066
keembe,2022,25.739911,23.739911,4.666208,0.1812829888961155,11.938162,1.341516,0.11237207201577595,NA,NA,NA,NA
keembe,2023,27.26147,26.209038,24.313246,0.8918538141927049,14.289546,0,0,4.77475,0.527113,0.138084,0.26196280493935836
keembe,2024,9.590007,6.760007,31.121818,0.9865950425290508,16.266795,15.542413,0.955468670995116,6.823629,1.071702,0.069887,0.06521122476210738
kwacha,2022,25.739911,23.739911,5.76914,0.22413208810240257,11.938162,1.439186,0.12055339842096296,NA,NA,NA,NA
kwacha,2023,28.198218,28.082534,22.58343,0.8008814599560866,15.216297,4.432251,0.29128315515923486,6.072296,0.773192,0.275245,0.35598531800639427
kwacha,2024,9.077583,6.121408,22.574247,0.6582867491832453,21.834899,14.474384,0.6629013488910573,3.492463,3.954538,0.489214,0.12370952055587783
liuwa,2022,25.739911,23.739911,9.167474,0.3561579525274971,11.938162,2.270586,0.19019560967592833,NA,NA,NA,NA
liuwa,2023,27.26147,26.209038,18.479103,0.6778469026064992,15.269337,5.545261,0.3631631812173639,3.766941,4.049462,0.010386,0.0025647851492371
